True Positives: 0, False Positives: 4197, False Negatives: 726, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029466148052330457,
True Positives: 0, False Positives: 4299, False Negatives: 743, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029439418810216746,
True Positives: 0, False Positives: 4419, False Negatives: 763, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02928018301702687,
True Positives: 0, False Positives: 4515, False Negatives: 779, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029300682145047535,
True Positives: 0, False Positives: 4623, False Negatives: 797, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029239619840642612,
True Positives: 0, False Positives: 4731, False Negatives: 815, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029122126706737552,
True Positives: 0, False Positives: 4839, False Negatives: 833, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.029065110483782707,
True Positives: 0, False Positives: 4953, False Negatives: 852, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028937337140833422,
True Positives: 0, False Positives: 5061, False Negatives: 870, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028826770185044856,
True Positives: 0, False Positives: 5163, False Negatives: 887, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028806124208556234,
True Positives: 0, False Positives: 5277, False Negatives: 906, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02868508863464692,
True Positives: 0, False Positives: 5373, False Negatives: 922, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028692484995651822,
True Positives: 0, False Positives: 5481, False Negatives: 940, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02865507039999034,
True Positives: 0, False Positives: 5569, False Negatives: 957, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02862047378160022,
True Positives: 0, False Positives: 5647, False Negatives: 975, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028523948500504236,
True Positives: 0, False Positives: 5751, False Negatives: 994, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02844174734606723,
True Positives: 0, False Positives: 5816, False Negatives: 1010, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028415916904941697,
True Positives: 0, False Positives: 5891, False Negatives: 1026, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028420936170557087,
True Positives: 0, False Positives: 6005, False Negatives: 1045, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028377881874632693,
True Positives: 0, False Positives: 6113, False Negatives: 1063, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028285445554084545,
True Positives: 0, False Positives: 6215, False Negatives: 1080, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02827997201017659,
True Positives: 0, False Positives: 6317, False Negatives: 1097, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028274911326336825,
True Positives: 0, False Positives: 6431, False Negatives: 1116, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028233518145153916,
True Positives: 0, False Positives: 6521, False Negatives: 1131, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02832004382934735,
True Positives: 0, False Positives: 6611, False Negatives: 1146, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028347205408370532,
True Positives: 0, False Positives: 6725, False Negatives: 1165, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02830064169098095,
True Positives: 0, False Positives: 6833, False Negatives: 1183, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028233186163984413,
True Positives: 0, False Positives: 6941, False Negatives: 1201, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02821478096169355,
True Positives: 0, False Positives: 7042, False Negatives: 1219, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.028159031767017763,
True Positives: 0, False Positives: 7161, False Negatives: 1239, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02806104439063416,
True Positives: 0, False Positives: 7251, False Negatives: 1257, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027975543249797903,
True Positives: 0, False Positives: 7341, False Negatives: 1275, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027892093732546117,
True Positives: 0, False Positives: 7436, False Negatives: 1294, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0278237057457469,
True Positives: 0, False Positives: 7515, False Negatives: 1308, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02786891519342283,
True Positives: 0, False Positives: 7629, False Negatives: 1327, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027816393519215065,
True Positives: 0, False Positives: 7737, False Negatives: 1345, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02776246140148509,
True Positives: 0, False Positives: 7851, False Negatives: 1364, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027700013864368205,
True Positives: 0, False Positives: 7959, False Negatives: 1382, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027708741446453692,
True Positives: 0, False Positives: 8055, False Negatives: 1399, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027677414485346365,
True Positives: 0, False Positives: 8163, False Negatives: 1417, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027632147519407117,
True Positives: 0, False Positives: 8265, False Negatives: 1434, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027610193251046494,
True Positives: 0, False Positives: 8385, False Negatives: 1454, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02754059955364553,
True Positives: 0, False Positives: 8481, False Negatives: 1470, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027517063275511143,
True Positives: 0, False Positives: 8577, False Negatives: 1485, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027556037871380664,
True Positives: 0, False Positives: 8696, False Negatives: 1502, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027535467295605468,
True Positives: 0, False Positives: 8815, False Negatives: 1521, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027507447927679427,
True Positives: 0, False Positives: 8899, False Negatives: 1535, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027477872676222478,
True Positives: 0, False Positives: 8971, False Negatives: 1547, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027462449442146864,
True Positives: 0, False Positives: 9062, False Negatives: 1562, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02740217372151154,
True Positives: 0, False Positives: 9157, False Negatives: 1578, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027360679294044326,
True Positives: 0, False Positives: 9276, False Negatives: 1595, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02736552146583175,
True Positives: 0, False Positives: 9367, False Negatives: 1608, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027307951234453936,
True Positives: 0, False Positives: 9458, False Negatives: 1621, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027270694363974977,
True Positives: 0, False Positives: 9549, False Negatives: 1634, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02725092836781081,
True Positives: 0, False Positives: 9654, False Negatives: 1649, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027198003383264602,
True Positives: 0, False Positives: 9745, False Negatives: 1662, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027163649112517042,
True Positives: 0, False Positives: 9843, False Negatives: 1676, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027123380127686968,
True Positives: 0, False Positives: 9962, False Negatives: 1693, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02708505466981874,
True Positives: 0, False Positives: 10067, False Negatives: 1708, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027036804154568123,
True Positives: 0, False Positives: 10179, False Negatives: 1724, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.027012136279583116,
True Positives: 0, False Positives: 10277, False Negatives: 1738, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.026974137134063717,
True Positives: 0, False Positives: 10375, False Negatives: 1753, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02692612538676616,
True Positives: 0, False Positives: 10465, False Negatives: 1768, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02689642898416304,
True Positives: 0, False Positives: 10549, False Negatives: 1782, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.026876772947811156,
True Positives: 0, False Positives: 10651, False Negatives: 1799, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.026824434622567943,
True Positives: 0, False Positives: 10725, False Negatives: 1812, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.026796832633554046,
True Positives: 0, False Positives: 10829, False Negatives: 1829, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02676347522252626,
True Positives: 0, False Positives: 10932, False Negatives: 1843, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02677192150081349,
True Positives: 0, False Positives: 11017, False Negatives: 1854, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02677566510302002,
